# Target Sample Rate: 400 Hz
# Max Device Sample Rate: 400 Hz
# Recording started at: 2026-02-07 14:18:51.656
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.020751,-0.772,0.175,-1.087,1.345
0.025355,-0.453,0.146,-0.926,1.042
0.026947,-0.354,0.044,-0.908,0.976
0.029631,-0.295,0.001,-0.906,0.953
0.038026,-0.231,-0.036,-0.899,0.928
0.041934,0.053,-0.186,-0.814,0.837
0.044424,0.129,-0.237,-0.773,0.819
0.047040,0.202,-0.270,-0.726,0.800
0.065115,0.268,-0.293,-0.679,0.787
0.078689,0.520,-0.355,-0.300,0.698
0.094646,0.398,-0.385,0.026,0.554
0.107345,0.211,-0.008,0.256,0.332
0.109976,0.182,0.294,0.232,0.416
0.112536,0.172,0.316,0.179,0.402
0.124320,0.161,0.344,0.115,0.397
0.127829,0.195,0.491,-0.159,0.552
0.130201,0.215,0.491,-0.201,0.572
0.139101,0.226,0.478,-0.241,0.581
0.143022,0.230,0.409,-0.425,0.632
0.145821,0.223,0.398,-0.471,0.656
0.155215,0.212,0.392,-0.511,0.678
0.160681,0.154,0.416,-0.562,0.716
0.160760,0.137,0.459,-0.557,0.734
0.162934,0.108,0.591,-0.530,0.801
0.173105,0.093,0.662,-0.514,0.843
0.177941,0.014,0.903,-0.414,0.993
0.180539,-0.002,0.919,-0.389,0.998
0.192039,-0.010,0.916,-0.364,0.985
0.195458,-0.001,0.642,-0.201,0.673
0.210865,0.008,0.585,-0.156,0.606
0.228117,0.174,0.263,0.170,0.358
0.230847,0.268,0.038,0.317,0.417
0.241172,0.263,0.028,0.321,0.416
0.245970,0.079,0.193,0.220,0.303
0.260753,0.036,0.270,0.184,0.329
0.263576,-0.143,0.739,-0.009,0.753
0.288557,-0.146,0.781,-0.033,0.796
0.294294,-0.039,0.819,-0.132,0.830
0.294415,-0.027,0.795,-0.139,0.808
0.296412,-0.016,0.773,-0.153,0.788
0.309090,-0.008,0.751,-0.169,0.769
0.314116,-0.003,0.575,-0.269,0.635
0.328221,-0.008,0.532,-0.281,0.602
0.349142,-0.033,-0.013,-0.213,0.215
0.360050,0.202,-0.253,-0.323,0.457
0.378940,0.484,0.147,-0.534,0.736
0.393493,0.642,0.585,-0.546,1.026
0.397482,0.511,0.592,-0.493,0.924
0.407446,0.468,0.557,-0.493,0.879
0.412181,0.251,0.349,-0.494,0.655
0.426966,0.210,0.324,-0.497,0.630
0.429962,0.058,0.256,-0.533,0.594
0.446827,0.051,0.255,-0.546,0.605
0.450326,0.080,0.194,-0.700,0.731
0.453519,0.086,0.176,-0.719,0.745
0.455140,0.092,0.152,-0.740,0.761
0.457873,0.102,0.121,-0.756,0.772
0.460681,0.117,0.083,-0.772,0.785
0.462979,0.134,0.051,-0.784,0.796
0.480257,0.152,0.019,-0.787,0.801
0.493972,0.218,0.015,-0.750,0.781
0.507397,0.297,0.112,-0.721,0.787
0.510343,0.810,-0.233,-0.841,1.191
0.513138,0.868,-0.242,-0.872,1.254
0.528947,0.913,-0.238,-0.904,1.307
0.546329,1.126,0.012,-1.097,1.572
0.562394,1.233,-0.102,-1.170,1.703
0.579641,1.253,-0.308,-1.225,1.779
0.596790,1.075,-0.212,-1.273,1.679
0.613856,0.932,0.230,-1.294,1.611
0.629750,0.945,0.515,-1.211,1.620
0.645118,0.926,0.376,-1.245,1.596
0.662046,0.783,0.074,-1.273,1.496
0.674457,0.477,-0.028,-1.362,1.443
0.679272,0.257,0.129,-1.453,1.481
0.697276,0.213,0.176,-1.470,1.495
0.713697,-0.090,0.510,-1.489,1.576
0.730229,-0.303,0.584,-1.351,1.503
0.744014,-0.373,0.582,-1.294,1.467
0.756871,-0.402,0.543,-1.299,1.464
0.760172,-0.435,0.079,-1.285,1.359
0.762281,-0.443,-0.014,-1.292,1.365
0.773629,-0.452,-0.110,-1.297,1.378
0.777409,-0.525,-0.507,-1.361,1.544
0.780253,-0.549,-0.568,-1.367,1.579
0.790379,-0.582,-0.615,-1.363,1.605
0.794943,-0.822,-0.596,-1.312,1.659
0.806936,-0.879,-0.543,-1.312,1.670
0.810094,-1.081,-0.208,-1.344,1.737
0.812598,-1.069,-0.164,-1.368,1.744
0.823878,-1.067,-0.118,-1.388,1.754
0.827951,-1.087,-0.043,-1.434,1.800
0.830488,-1.080,-0.081,-1.453,1.812
0.840884,-1.071,-0.136,-1.471,1.824
0.845328,-1.010,-0.552,-1.480,1.875
0.862680,-0.996,-0.650,-1.471,1.891
0.878925,-0.873,-1.593,-1.398,2.292
0.899216,-0.735,-2.023,-1.191,2.460
0.902054,-0.637,-1.422,-0.986,1.843
0.905929,-0.607,-0.914,-0.939,1.444
0.908488,-0.595,-0.760,-0.928,1.339
0.910887,-0.581,-0.624,-0.923,1.257
0.913462,-0.573,-0.511,-0.915,1.194
0.921940,-0.565,-0.420,-0.916,1.155
0.925787,-0.573,-0.363,-0.932,1.152
0.928710,-0.582,-0.404,-0.938,1.176
0.931067,-0.593,-0.465,-0.938,1.203
0.938755,-0.607,-0.546,-0.939,1.244
0.943528,-0.695,-0.993,-0.945,1.537
0.946064,-0.726,-1.101,-0.954,1.628
0.954013,-0.754,-1.200,-0.958,1.711
0.958727,-0.821,-1.511,-0.964,1.971
0.961213,-0.823,-1.563,-0.964,2.012
0.963777,-0.821,-1.602,-0.968,2.043
0.968753,-0.818,-1.628,-0.969,2.064
0.968861,-0.812,-1.635,-0.969,2.067
0.971175,-0.809,-1.634,-0.968,2.064
0.973757,-0.802,-1.611,-0.969,2.044
0.976143,-0.796,-1.569,-0.968,2.008
0.978688,-0.790,-1.509,-0.967,1.958
0.986682,-0.780,-1.424,-0.963,1.887
0.991204,-0.745,-0.957,-0.940,1.535
0.993783,-0.741,-0.827,-0.936,1.452
0.996484,-0.737,-0.702,-0.930,1.378
1.004530,-0.737,-0.579,-0.924,1.316
1.009047,-0.738,-0.152,-0.917,1.186
1.011759,-0.743,-0.060,-0.909,1.176
1.014161,-0.747,0.022,-0.889,1.162
1.023700,-0.755,0.088,-0.863,1.150
1.026617,-0.776,0.150,-0.821,1.139
1.029083,-0.782,0.137,-0.823,1.144
1.039928,-0.790,0.112,-0.829,1.151
1.044396,-0.732,-0.201,-0.911,1.186
1.046854,-0.704,-0.309,-0.930,1.206
1.056617,-0.671,-0.431,-0.947,1.237
1.059371,-0.518,-0.877,-0.986,1.418
1.061983,-0.480,-0.950,-0.987,1.451
1.070479,-0.444,-0.998,-0.991,1.475
1.074307,-0.315,-1.035,-0.954,1.442
1.077230,-0.283,-1.012,-0.933,1.405
1.079536,-0.259,-0.975,-0.915,1.362
1.087122,-0.241,-0.930,-0.897,1.315
1.092114,-0.203,-0.714,-0.871,1.144
1.094588,-0.199,-0.674,-0.877,1.124
1.097098,-0.191,-0.635,-0.881,1.103
1.105041,-0.180,-0.606,-0.882,1.084
1.109728,-0.115,-0.619,-0.900,1.098
1.112407,-0.097,-0.644,-0.910,1.119
1.121492,-0.082,-0.669,-0.923,1.143
1.124938,-0.049,-0.722,-0.939,1.185
1.127880,-0.046,-0.733,-0.934,1.188
