# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 400 Hz
# Recording started at: 2026-02-07 14:18:13.978
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003889,-0.0693,-0.2534,-0.0268,0.26
0.017817,-0.3307,-0.2414,0.1552,0.44
0.031327,-0.8159,0.4865,-0.1495,0.96
0.033256,-0.5914,0.9316,-0.4404,1.19
0.048502,-0.8955,1.3509,-0.9969,1.90
0.067850,-1.1867,1.2697,-1.0107,2.01
0.068072,-1.2733,1.5517,-1.1993,2.34
0.083652,-1.2293,1.5739,-1.2179,2.34
0.084157,-1.1498,1.4223,-0.9957,2.08
0.100698,-0.5952,1.2837,-0.6160,1.54
0.118598,-0.3346,0.9830,-0.4136,1.12
0.118829,-0.5444,0.7005,-0.6132,1.08
0.132693,-0.5065,0.5534,-0.8949,1.17
0.135646,-0.4089,0.6130,-0.6837,1.01
0.144514,-0.6413,0.4838,0.2523,0.84
0.161700,-0.4109,0.4848,0.5325,0.83
0.164114,0.0093,0.2028,0.2832,0.35
0.180254,0.4406,-0.3375,0.0316,0.56
0.184670,0.6948,-0.8596,0.1743,1.12
0.199681,0.9863,-1.3798,0.5004,1.77
0.216976,1.2253,-1.9222,0.6764,2.38
0.217186,1.3023,-2.1371,0.8640,2.65
0.233546,1.1824,-1.9443,1.0377,2.50
0.235920,0.8713,-1.4844,1.0699,2.03
0.250749,0.8963,-1.1327,1.0383,1.78
0.265154,1.2665,-1.5850,0.8789,2.21
0.265333,1.3898,-2.1051,0.6657,2.61
0.282482,1.6722,-2.2177,0.4195,2.81
0.285616,1.5402,-1.1916,0.1416,1.95
0.300123,1.0798,-0.4620,-0.0695,1.18
0.312995,0.7476,-0.0496,-0.5166,0.91
0.315768,0.4676,0.0498,-0.9647,1.07
0.329009,0.4692,0.2284,-0.8711,1.02
0.336412,0.7109,0.8001,0.7457,1.30
0.345872,0.5204,1.0233,1.6118,1.98
0.365391,0.7455,0.5876,0.5704,1.11
0.366199,1.1545,0.4278,-0.1422,1.24
0.381241,1.0678,0.0854,-0.4223,1.15
0.386364,1.0199,-0.2753,-0.2056,1.08
0.402398,0.7385,-0.5360,-0.4621,1.02
0.417712,0.5552,-0.5430,-0.6371,1.00
0.418097,0.8538,-0.7225,-0.4952,1.22
0.434468,1.3017,-0.4466,-0.2719,1.40
0.448738,1.3790,-0.4043,-0.1806,1.45
0.448933,1.4563,-0.4698,-0.2147,1.55
0.469508,1.5638,-0.4302,-0.2987,1.65
0.469715,1.8869,-0.4406,-0.2150,1.95
0.486150,2.2336,-0.2009,0.3347,2.27
0.498925,2.8242,-0.6753,-0.1998,2.91
0.499078,3.7559,-1.6174,-0.8471,4.18
0.518232,4.2880,-1.9376,-2.3055,5.24
0.518571,4.3820,-1.7413,-4.4074,6.45
0.531698,4.1555,-1.9986,-5.8492,7.45
0.551545,3.0708,-2.6908,-6.6653,7.82
0.566740,3.2848,-2.1856,-6.5042,7.61
0.585255,2.9562,-3.2502,-5.1761,6.79
0.600776,1.4128,-3.4533,-3.4720,5.10
0.601002,1.0377,-2.3740,-0.9402,2.76
0.616794,0.6941,-1.6775,1.0182,2.08
0.619017,0.2318,-1.4747,2.2658,2.71
0.635334,-0.1553,-0.9399,3.1171,3.26
0.650617,-0.1579,-0.4157,3.3014,3.33
0.650895,-0.0245,-0.4600,3.0038,3.04
0.678517,-0.5689,-0.3633,2.7770,2.86
0.695557,-0.3271,-0.0312,-0.4719,0.58
0.698852,0.5070,0.1401,-1.2170,1.33
0.735673,0.5481,-0.0417,-1.5106,1.61
0.748711,-2.9634,0.8528,-0.3884,3.11
0.759030,-3.7400,0.7964,-0.1298,3.83
0.769666,-3.8877,0.6994,-0.0651,3.95
0.779539,-3.2983,0.6120,-0.5091,3.39
0.795049,-2.2717,0.4687,-1.1898,2.61
0.799650,-1.4878,-0.0813,-1.6914,2.25
0.812438,-1.0715,-0.4655,-2.0696,2.38
0.819929,-0.8533,-0.4137,-2.1706,2.37
0.829797,-0.7948,-0.2846,-1.8049,1.99
0.845683,-1.0660,-0.2696,-1.2685,1.68
0.850121,-1.6264,-0.1961,-0.6031,1.75
0.869949,-2.1462,0.0311,0.1354,2.15
0.870125,-2.7780,-0.1641,0.7128,2.87
0.880487,-3.2658,0.0226,0.9837,3.41
0.895782,-3.1137,0.3537,0.9503,3.27
0.900387,-2.5491,0.0906,0.8094,2.68
0.912369,-2.0793,-0.0113,0.7746,2.22
0.930479,-1.6019,0.3108,0.9063,1.87
0.931055,-0.9929,0.4839,0.9033,1.43
0.946365,-0.8374,0.4340,0.9582,1.34
0.951028,-1.0825,0.7094,1.1962,1.76
0.964256,-1.5594,0.7613,1.4027,2.23
0.979397,-2.0962,1.0600,1.3241,2.70
0.981284,-2.1987,1.0216,1.1286,2.67
0.995488,-2.1666,0.9742,0.9583,2.56
1.001129,-1.9158,1.0948,0.9098,2.39
1.012322,-1.3361,1.4078,0.9816,2.17
1.029748,-0.7356,1.4131,1.0267,1.90
1.031357,-0.3141,1.2025,0.8769,1.52
1.046554,-0.2608,1.2022,0.6940,1.41
1.051424,-0.9975,1.1662,0.5516,1.63
1.062383,-1.6040,1.2249,0.5230,2.08
1.079933,-1.9110,1.3884,0.5507,2.43
1.081778,-1.8925,1.2056,0.5448,2.31
1.095630,-1.4698,1.0221,0.2476,1.81
1.102931,-0.7025,0.6067,-0.0617,0.93
1.112854,0.0869,0.3876,-0.2033,0.45
1.129339,0.3178,0.2732,-0.5842,0.72
1.132172,0.0237,0.2136,-0.9921,1.02
1.146333,-0.6665,0.1404,-1.2287,1.40
1.151999,-1.3803,0.1689,-1.0571,1.75
1.162891,-1.8419,0.3199,-0.4226,1.92
1.195206,-1.9632,0.3879,0.1750,2.01
1.231062,-0.7930,0.8282,0.9274,1.47
1.252735,-1.8480,0.5551,0.0282,1.93
1.253012,-2.3255,0.4478,0.1262,2.37
1.281644,-2.5966,0.3558,0.0897,2.62
1.296268,-1.9653,0.1540,-0.1758,1.98
1.302737,-1.2939,0.3742,-0.3337,1.39
